Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-7.971,4.988,-0.667,,3.087,23.3,12.152,70.399,27.6,21.7,14.8,167.9
,-7.938,4.908,-0.694,,,,,,,,,
,-7.939,4.916,-0.699,,,,,,,,,
POV-I,-19.017,9.268,-4.928,,,,,,,,,
,-18.962,9.416,-4.818,,,,,,,,,
,-19.011,9.345,-4.82,,,,,,,,,
QD1-O,-15.851,10.767,-0.846,,2.507,8.1,,,,,,
,-15.798,10.703,-0.771,,,,,,,,,
,-15.777,10.661,-0.705,,,,,,,,,
QD1-I,-19.23,10.67,-3.88,,,,,,,,,
,-19.181,10.696,-3.882,,,,,,,,,
,-19.237,10.802,-3.911,,,,,,,,,
QV-O,-19.69,10.969,-3.695,,12.222,44.9,,,,,,
,-19.626,10.977,-3.661,,,,,,,,,
,-19.636,10.924,-3.687,,,,,,,,,
QV-I,-23.016,7.759,-5.344,,,,,,,,,
,-23.024,7.793,-5.346,,,,,,,,,
,-23.054,7.916,-5.373,,,,,,,,,
POD-O,-10.561,6.557,-1.015,,1.521,8.1,,,,,,
,-10.615,6.612,-1.046,,,,,,,,,
,-10.627,6.631,-1.038,,,,,,,,,
POD-I,-18.572,10.573,-3.473,,,,,,,,,
,-18.606,10.56,-3.502,,,,,,,,,
,-18.569,10.519,-3.535,,,,,,,,,
QD2-O,-16.636,11.319,0.918,,1.73,5.3,,,,,,
,-16.57,11.28,0.912,,,,,,,,,
,-16.442,11.201,0.985,,,,,,,,,
QD2-I,-18.973,11.678,-2.11,,,,,,,,,
,-18.928,11.666,-2.094,,,,,,,,,
,-18.94,11.592,-2.041,,,,,,,,,
QD3-O,-16.526,11.192,-0.341,,1.945,8.3,,,,,,
,-16.719,11.225,-0.467,,,,,,,,,
,-16.735,11.235,-0.429,,,,,,,,,
QD3-I,-19.255,10.735,-3.062,,,,,,,,,
,-19.249,10.743,-3.03,,,,,,,,,
,-19.344,10.812,-2.871,,,,,,,,,
QD4-O,-18.399,10.683,-1.756,,1.006,2.1,,,,,,
,-18.29,10.56,-1.766,,,,,,,,,
,-18.329,10.544,-1.761,,,,,,,,,
QD4-I,-19.564,10.129,-3.08,,,,,,,,,
,-19.593,10.164,-3.107,,,,,,,,,
,-19.564,10.066,-3.242,,,,,,,,,
ABP,-10.866,1.049,-4.284,,,,,,,,,
,-10.924,1.041,-4.231,,,,,,,,,
,-10.861,1.045,-4.097,,,,,,,,,
PBP,-16.852,8.585,-3.002,,,,,,,,,
,-16.925,8.512,-3.011,,,,,,,,,
,-16.94,8.553,-3.028,,,,,,,,,
JJ,-19.338,10.035,-1.562,,,,,,,,,
,-19.279,9.975,-1.553,,,,,,,,,
,-19.27,9.962,-1.584,,,,,,,,,
